10703|A|0|0|0|0|0|1|2016-03-03 05:00:05|2016-03-03 04:59:49|121.487987|31.178830|0.0|156.0|10|000|A|0|1|V|0|0|2|2016-03-03 05:00:05|2010-01-01|121.412520|31.135412|22.0|0.0|0|000
23824|A|0|0|0|0|0|1|2016-03-03 04:59:59|2016-03-03 04:59:43|121.372832|31.091267|17.4|344.0|8|011|A|0|1|5|0|0|2|2016-03-03 05:00:06|2016-03-03 04:59:50|121.509062|31.193307|0.0|236.0|9|000
10703|A|0|0|0|0|0|1|2016-03-03 05:00:15|2016-03-03 04:59:59|121.487987|31.178830|0.0|156.0|10|000|A|0|1|V|0|0|2|2016-03-03 05:00:15|2010-01-01|121.412520|31.135412|26.5|0.0|0|000
23824|A|0|0|0|0|0|1|2016-03-03 05:00:09|2016-03-03 04:59:53|121.372645|31.091780|30.9|344.0|9|027|A|0|1|5|0|0|2|2016-03-03 05:00:16|2016-03-03 05:00:00|121.509062|31.193307|0.0|236.0|9|000
15541|A|0|0|0|0|0|1|2016-03-03 05:00:18|2016-03-03 04:59:08|121.316577|31.328682|65.0|345.0|12|064|A|0|1|0|0|0|2|2016-03-03 05:00:18|2016-03-03 04:59:48|121.316050|31.330678|0.0|353.0|12|000
23824|A|0|0|0|0|0|1|2016-03-03 05:00:19|2016-03-03 05:00:03|121.372368|31.092392|14.7|334.0|10|017|A|0|1|5|0|0|2|2016-03-03 05:00:26|2016-03-03 05:00:10|121.509062|31.193307|0.0|236.0|9|000
14212|A|0|0|0|0|0|1|2016-03-03 05:00:36|2016-03-03 04:58:33|121.458287|31.640833|0.0|0.0|11|000|A|0|1|5|0|0|2|2016-03-03 05:00:47|2016-03-03 04:59:03|121.458288|31.640832|0.0|0.0|11|000
11283|A|0|0|0|0|1|1|2016-03-03 01:31:24|2016-03-03 01:25:54|121.419975|31.137332|9.6|48.0|8|008|A|0|1|0|0|0|2|2016-03-03 05:00:55|2016-03-03 05:00:16|121.316205|31.194960|13.6|255.0|9|011
20621|A|0|0|0|0|0|1|2016-03-03 05:00:53|2016-03-03 05:00:37|121.291515|31.127178|41.2|231.0|11|041|A|0|1|1|0|0|2|2016-03-03 05:00:57|2016-03-03 05:00:41|121.291123|31.126908|44.9|231.0|11|045
25943|A|0|0|0|0|0|1|2016-03-03 04:54:16|2016-03-03 04:53:58|121.213427|31.436297|0.0|134.0|12|003|A|0|1|0|0|1|2|2016-03-03 05:01:07|2016-03-03 05:00:50|121.201295|31.408128|0.0|329.0|10|000
