26832|A|0|0|0|1|1|1|2016-03-05 21:00:17|2016-03-05 20:58:09|121.331237|31.157822|15.2|162.0|10|015|A|0|1|1|0|1|2|2016-03-05 21:00:17|2016-03-05 20:58:25|121.331242|31.157778|0.0|153.0|9|000
26087|A|0|0|0|0|0|1|2016-03-05 20:43:03|2016-03-05 20:42:45|121.494902|31.236148|19.2|324.0|7|018|A|0|1|1|0|0|2|2016-03-05 21:00:18|2016-03-05 20:59:57|121.472672|31.235550|0.0|346.0|9|000
25834|A|0|0|0|0|0|1|2016-03-05 20:23:09|2016-03-05 20:22:51|121.323448|31.195218|6.2|70.0|10|000|A|0|1|0|0|1|2|2016-03-05 21:00:19|2016-03-05 21:00:00|121.525327|31.224228|0.0|160.0|11|000
11853|A|0|0|0|0|0|1|2016-03-05 21:00:21|2016-03-05 20:48:06|121.446440|31.331397|32.2|70.0|9|032|A|0|1|2|0|1|2|2016-03-05 21:00:21|2016-03-05 20:47:47|121.445857|31.331208|18.4|72.0|10|016
17674|A|0|0|0|0|0|1|2016-03-05 21:00:21|2016-03-05 20:47:00|121.385763|31.131343|16.3|79.0|8|014|A|0|1|0|0|1|2|2016-03-05 21:00:21|2016-03-05 20:47:40|121.386225|31.131437|0.0|69.0|7|000
17674|A|0|0|0|0|0|1|2016-03-05 21:00:21|2016-03-05 20:46:58|121.385690|31.131347|12.0|128.0|7|011|A|0|1|0|0|1|2|2016-03-05 21:00:21|2016-03-05 20:47:50|121.386248|31.131452|0.0|69.0|8|000
23630|A|0|0|0|0|0|1|2016-03-05 20:52:24|2016-03-05 20:47:50|121.501365|31.143357|3.9|67.0|9|007|A|0|1|1|0|0|2|2016-03-05 21:00:22|2016-03-05 21:00:04|121.547738|31.121775|0.0|91.0|10|000
26378|A|0|0|0|0|0|1|2016-03-05 20:51:01|2016-03-05 20:50:42|121.529858|31.295827|13.2|153.0|8|012|A|0|1|1|0|0|2|2016-03-05 21:00:24|2016-03-05 21:00:06|121.506403|31.275273|0.0|278.0|8|008
23543|A|0|0|0|0|1|1|2016-03-05 20:36:44|2016-03-05 20:36:26|121.480475|31.238937|8.4|187.0|5|005|A|0|1|1|0|0|2|2016-03-05 21:00:25|2016-03-05 21:00:07|121.419423|31.257485|0.0|145.0|7|000
20662|A|0|0|0|0|1|1|2016-03-05 20:52:11|2016-03-05 20:51:53|121.502870|31.284157|14.4|291.0|8|014|A|0|1|0|0|0|2|2016-03-05 21:00:26|2016-03-05 21:00:07|121.504688|31.267590|12.5|82.0|7|011
26090|A|0|0|0|0|0|1|2016-03-05 20:49:25|2016-03-05 20:49:07|121.568388|31.250930|14.0|328.0|9|014|A|0|1|1|0|0|2|2016-03-05 21:00:26|2016-03-05 21:00:08|121.590602|31.241643|0.0|142.0|8|000
26351|A|0|0|0|0|0|1|2016-03-05 20:45:46|2016-03-05 20:45:28|121.484655|31.262690|11.8|180.0|7|011|A|0|1|1|0|0|2|2016-03-05 21:00:26|2016-03-05 21:00:08|121.452685|31.261782|10.9|254.0|9|016
16390|A|0|0|0|0|0|1|2016-03-05 20:46:43|2016-03-05 20:46:05|121.352822|31.172088|21.2|187.0|10|021|A|0|1|0|0|1|2|2016-03-05 21:00:27|2016-03-05 20:59:59|121.338043|31.164143|0.0|111.0|8|000
20234|A|0|0|0|0|0|1|2016-03-05 21:00:28|2016-03-05 20:58:20|121.492458|31.123650|7.0|343.0|11|007|A|0|1|1|0|0|2|2016-03-05 21:00:28|2016-03-05 20:57:46|121.492510|31.123525|0.0|343.0|10|000
20234|A|0|0|0|0|0|1|2016-03-05 21:00:28|2016-03-05 20:58:30|121.492388|31.123845|10.0|342.0|11|009|A|0|1|1|0|0|2|2016-03-05 21:00:28|2016-03-05 20:57:36|121.492510|31.123525|0.0|343.0|10|000
20234|A|0|0|0|0|0|1|2016-03-05 21:00:28|2016-03-05 20:58:50|121.491862|31.125322|49.0|342.0|11|048|A|0|1|1|0|0|2|2016-03-05 21:00:28|2016-03-05 20:57:56|121.492510|31.123525|0.0|343.0|11|000
20696|A|0|0|0|0|0|1|2016-03-05 20:50:45|2016-03-05 20:50:27|121.447033|31.196063|13.4|69.0|9|010|A|0|1|1|0|1|2|2016-03-05 21:00:30|2016-03-05 21:00:12|121.477570|31.209890|0.0|72.0|6|000
26503|A|0|0|0|0|0|1|2016-03-05 21:00:31|2016-03-05 20:55:38|121.383680|31.208018|32.8|99.0|8|032|A|0|1|1|0|0|2|2016-03-05 21:00:31|2016-03-05 20:55:14|121.382893|31.208140|2.8|107.0|7|000
26503|A|0|0|0|0|0|1|2016-03-05 21:00:31|2016-03-05 20:56:28|121.386357|31.206885|30.6|168.0|7|032|A|0|1|1|0|0|2|2016-03-05 21:00:31|2016-03-05 20:55:24|121.382893|31.208140|0.0|105.0|7|000
26315|A|0|0|0|0|0|1|2016-03-05 20:52:20|2016-03-05 20:52:00|121.513423|31.276873|8.7|54.0|8|007|A|0|1|1|0|0|2|2016-03-05 21:00:33|2016-03-05 21:00:15|121.514403|31.293468|0.0|78.0|8|000
26503|A|0|0|0|0|0|1|2016-03-05 21:00:31|2016-03-05 20:55:28|121.382968|31.208130|14.3|100.0|7|013|A|0|1|1|0|0|2|2016-03-05 21:00:33|2016-03-05 21:00:11|121.388153|31.199952|0.0|161.0|9|000
26503|A|0|0|0|0|0|1|2016-03-05 21:00:33|2016-03-05 20:59:48|121.388018|31.200397|33.2|169.0|10|033|A|0|1|0|0|0|2|2016-03-05 21:00:33|2016-03-05 21:00:08|121.388153|31.199952|0.0|161.0|10|000
